level,code,text
theme,A,The practical knowledge of nature
theme,B,Faith and basic attitudes
theme,C,The basic observations and socio-logic
theme,D,The world and human life
theme,E,Sense of proportion
theme,F,Concepts of morality
theme,G,Social life
theme,H,Social interaction
theme,J,Communication
theme,K,Social position
theme,L,Agreements and norms
theme,M,Coping and learning
theme,T,Time and sense of time
main,A1,NATURAL ELEMENTS
main,A2,"ANIMALS, HUMAN BEING : ANIMAL"
main,A3,"WEATHER, CALENDAR"
main,B1,GOD : MAN AND RELIGIOUS INSTITUTIONS
main,B2,FATALISM
main,C1,DURABILITY OF X's NATURE / DURABILITY OF IDENTITY
main,C2,X YIELDS /REQUIRES /BELONGS TO X
main,C3,NOTHINGNESS/EMPTINESS YIELDS/LOSES NOTHING
main,C4,LITTLE:BIG /A LITTLE:A LOT
main,C5,SIGNALS & THEIR MEANING /INTERPRETATION
main,C6,APPEARANCE : INTERNAL VALUES
main,D1,PLURALITY OF THE WORLD AND HUMAN LIFE
main,D2,JOY : GRIEF /LAUGHTER : CRYING /PLEASURE : AGONY
main,D3,DYNAMICS OF NEEDS
main,D4,"FOOD, EATING"
main,D5,"SPIRITS AND BEING DRUNK / DEPENDENCES, DRINKING HABITS"
main,E1,RELATIVITY OF RANKING / THE ESSENTIAL UNITY OF DIFFERING THINGS
main,F1,GOOD AND EVIL - SUCCESS
main,F2,"PRIDE:HUMILITY, BOASTING : LOSS OF HONOR"
main,G1,KINSHIP
main,G2,DEVELOPMENT - A PERSON'S BACKGROUND
main,G3,CHILD:PARENTS /UPBRINGING
main,G4,MAN : WOMAN / RANKING & POSITION OF BOTH SEXES
main,G5,MARRIAGE
main,G6,YOUTH : OLD AGE
main,G7,HEALTH : ILLNESS
main,G8,DEATH / THE DEAD
main,H1,SELF : OTHERS (KNOWLEDGE OF ONESELF) / INDIVIDUAL : COLLECTIVE
main,H2,MANAGING ON ONE'S OWN : TRUSTING OTHER PEOPLE / STRANGERS
main,H3,GROUP SOLIDARITY
main,H4,NEAR : FAR / AT HOME : IN UNFAMILIAR CONDITIONS
main,H5,ME/US /OWN ADVANTAGE : OTHERS /HOSPITALITY TOWARDS GUESTS
main,H6,FRIEND : ENEMY / GOOD OR BAD NEIGHBOUR
main,H7,AGGRESSION & PEACEABLENESS
main,J1,COMMUNICATION
main,K1,"POWER, RULER : SUBJECT / SUPERIOR : INFERIOR"
main,K2,WEALTH : POVERTY / MONEY
main,L1,LAW AND JUSTICE
main,L2,BUSINESS / BUYING & SELLING
main,M1,PRECAUTION : INCAUTIOUSNESS
main,M2,"MOBILITY, TRAVEL"
main,M3,WISDOM /INTELLIGENCE : STUPIDITY
main,M4,"COURAGE : COWARDICE , COMPLIANCE"
main,M5,SKILL /TOOLS /MATERIAL
main,M6,OWN INITIATIVE / ENTERPRISE / RESPONSIBILITY
main,M7,"WORK, LABOUR, DILIGENCE : SUCCESS, INACTIVITY/LAZINESS : SHORTAGE"
main,M8,THRIFTY / STINGINESS
main,M9,EXPERIENCE/PRACTICE : LEARNING
main,T1,"TIMING / RIGHT MOMENT, BAD MOMENT / USE OF TIME"
main,T2,ATTITUDES TOWARDS CHANGE /MODERNITY
main,T3,"ATTITUDES TOWARDS THE PRESENT/FUTURE, ADJUSTMENTS"
main,T4,"STARTING : FINISHING, BEGINNING : END"
subgroup,A1a,water and fire as natural elements
subgroup,A1b,earth and sea as natural elements
subgroup,A1c,types of soil and flora as natural elements
subgroup,A1d,cultivated plants
subgroup,A1e,cold - warm
subgroup,A2a,"position of man, domestic and wild animals"
subgroup,A2b,animals as signs of weather and harvest
subgroup,A3a,"points of the compass, wind, rain, changing weather"
subgroup,A3b,"morning : evening, night : day, darkness : light"
subgroup,A3c,"spring: autumn, summer : winter, year and harvest"
subgroup,A3d,months
subgroup,A3e,"omens, sayings and advice about holidays, red-letter days"
subgroup,A3f,personifications of red-letter days
subgroup,B1a,"God Almighty, everyone's God"
subgroup,B1b,"the goodness and generosity of God, blessing, turning to God"
subgroup,B1c,God disciplines and cures
subgroup,B1d,"the omniscience of God, the ignorance of man"
subgroup,B1e,"obedience to God, man the believer"
subgroup,B1f,man's scepticism before God
subgroup,B1g,priest and church
subgroup,B2a,the inevitability of destiny
subgroup,B2b,"fatalism, acceptance of circumstances"
subgroup,B2c,"changing luck, the capriciousness or unexpectedness of luck"
subgroup,B2d,bad luck
subgroup,B2e,good luck and the madman's luck
subgroup,B2f,chance encounters / reunions
subgroup,B2g,belief in omens
subgroup,C1a,X's basic nature / character will be unchanged; characteristics will not change
subgroup,C1b,"X is always X, even if..."
subgroup,C1c,no need to teach X things belonging to its character; hopeless to teach t-s not b. to X's character
subgroup,C1d,X will preserve X's habits and customs
subgroup,C2a,"X-quantity, -size or -shape will produce a corresponding X"
subgroup,C2b,X-sowing or -material will correspond to X-yields
subgroup,C2c,"X-action or -work will lead to X-result, -wage, -punishment or -consequence"
subgroup,C2d,X needs a corresponding X-element/-tool
subgroup,C2e,X and Y belong together /apart
subgroup,C2f,X is needed to eliminate X
subgroup,C3a,you get nothing from nothing
